strain,clade_membership,mutational_fitness
mink/DK/AD40_Farm3/2020,20B,0.31
mink/DK/AD37_Farm3/2020,20B,0.31
AUS/VIC2522/2020,20F,0.44
KEN/SS2782/2020,20A,0.28
PER/covper007/2020,20D,0.35
AUS/NT53/2020,20F,0.44
PER/covper021/2020,20D,0.35
MWI/MLW00010/2020,20A,0.34
MAR/Morocco_HMIMV_279CC/2020,20A,0.32
USA/AK-PHL783/2020,20C,0.44
PER/covper008/2020,20B,0.22
AUS/NT51/2020,20F,0.44
PER/covper019/2020,20D,0.34
PER/covper024/2020,20D,0.35
PER/covper010/2020,20D,0.35
IND/GBRC-376a/2020,20B,0.29
PHL/COVID-4149/2020,20B,0.45
USA/OH-QDX-3423/2020,20B,0.34
TUN/TUN_ADAGE_4761/2020,20B,0.36
AUS/NT52/2020,20C,0.34
NZL/20VR3804/2020,20B,0.35
HongKong/HKPU-00043/2020,20B,0.38
BRA/MT21774/2020,20B,0.38
NZL/20VR3828/2020,20B,0.35
URY/M285/2020,20B,0.47
URY/M296/2020,20B,0.48
URY/M288/2020,20B,0.48
URY/M287/2020,20B,0.48
URY/M297/2020,20B,0.48
NGA/BCVL-3305/2020,20A,0.34
Switzerland/SO-ETHZ-200071/2020,20B,0.35
PHL/COVID-5658/2020,20B,0.35
OU079558,20A,0.44
TUR/DENIZLI_PAU_12/2020,20B,0.35
BGD/BCSIR_NILMRC_306/2020,20B,0.38
AUS/TAS278/2020,20F,0.44
AUS/QLD02/2020,19B,0.29
MW294007,20B,0.21
SRB/KM-0833-21-07/2020,20D,0.37
LR992051,20A,0.28
BRA/RJ-DCVN4/2020,20A,0.3
BRA/RJ-DCVN2/2020,20A,0.3
BRA/RJ-DCV1/2020,20A,0.3
BRA/RJ-DCV5/2020,20A,0.3
GHA/WACCBIP_nCoV_GS29/2020,20B,0.35
NZL/20VR3879/2020,20D,0.36
DJI/NAMRU3_E108/2020,20A,0.49
AUS/VIC6505/2020,20F,0.44
AUS/VIC7611/2020,20F,0.44
Japan/Donner73/2020,20B,0.36
EGY/EGY_CCHE57357_A_31/2020,20D,0.51
Iceland/6520/2020,20B,0.35
OV089970,20A,0.38
USA/WI-UW-1053/2020,20C,0.32
USA/TN-VUMC-000055/2020,19A,-0.01
USA/AK-PHL2587/2020,20A,0.36
USA/WA-S5254/2020,20A,0.46
GHA/WACCBIP_nCoV_GS34/2020,20B,0.34
AUS/VIC16556/2020,20F,0.44
ESP/HUD-66682640/2020,20E (EU1),0.44
USA/WA-S2772/2020,20A,0.36
HG994221,20B,0.33
AUS/VIC7963/2020,20F,0.44
ESP/HUD-79063196/2020,20E (EU1),0.45
ESP/HUD-79063144/2020,20E (EU1),0.44
OV090752,20A,0.42
RUS/5473/2020,20A,0.39
NZL/20VR3920/2020,20D,0.35
NZL/20VR3919/2020,20D,0.35
PER/un-CDC-3958462-001/2020,20D,0.34
AUS/GC-291/2020,20F,0.44
LR992075,20E (EU1),0.46
PER/un-CDC-3958226-001/2020,20D,0.35
NZL/20CV0129/2020,20D,0.34
MLT/Sliema_1/2020,20A,0.36
PER/un-CDC-3958248-001/2020,20B,0.35
USA/NC-QDX-4459/2020,20A,0.34
MLT/Sliema_5/2020,20A,0.36
Japan/Donner93/2020,20B,0.43
PER/un-CDC-3958043-001/2020,20D,0.33
SRB/SA00001-21-08/2020,20D,0.39
ARM/UW-ARM28/2020,20B,0.33
PER/un-CDC-3959175-001/2020,20D,0.34
AUS/GC-316/2020,20F,0.44
NZL/20CV0146/2020,20D,0.34
BRA/MT21770/2020,20B,0.37
England/MILK-995359/2020,20B,0.47
SRB/NI08513-27-08/2020,20B,0.38
USA/MO-QDX-3471/2020,20C,0.37
OU076982,20B,0.39
EGY/EGY-141/2020,20A,0.15
USA/SC-QDX-3350/2020,20C,0.35
NZL/20CV0224/2020,20A,0.46
NZL/20CV0221/2020,20A,0.46
NZL/20CV0219/2020,20D,0.35
USA/SC-QDX-3485/2020,20B,0.35
USA/AL-QDX-3486/2020,20C,0.42
ARM/UW-ARM43/2020,20B,0.4
MLT/Sliema_6/2020,20A,0.36
ARM/UW-ARM48/2020,20B,0.33
NZL/20CV0332/2020,20A,0.46
ARM/UW-ARM49/2020,20B,0.36
LR992065,20B,0.38
USA/LA-QDX-4487/2020,20C,0.42
PER/un-CDC-3958735-001/2020,20D,0.35
BHR/920396988_S5_L001/2020,20B,0.38
ARG/Cordoba-2932/2020,20C,0.43
ARG/Cordoba-920/2020,20C,0.35
ARG/Cordoba-891/2020,20C,0.35
ARG/Cordoba-15977/2020,20B,0.44
Scotland/QEUH-9C9240/2020,20E (EU1),0.45
NZL/20CV0346/2020,20A,0.43
ARG/Cordoba-1413/2020,20C,0.35
PER/un-CDC-4033267-001/2020,20D,0.33
AUS/VIC14764/2020,20F,0.44
OU077018,20A,0.35
OD916524,20B,0.33
AUS/VIC14080/2020,20F,0.44
KEN/C59010/2020,20A,0.31
USA/VSP0356/2020,20A,0.37
NZL/20CV0362/2020,20A,0.46
URY/899/2020,20B,0.47
URY/917/2020,20B,0.47
England/QEUH-9DABBA/2020,20B,0.48
FRA/66JQ-O/2020,20A,0.43
HongKong/Case5053/2020,20B,0.45
USA/hCoV_19_USA_ID_IVREF_662223_2020/2020,20G,0.43
URY/926_del4/2020,20B,0.41
Japan/Donner120/2020,20B,0.38
UGA/MAKCHScov6/2020,19B,0.47
URY/934_del4/2020,20B,0.41
URY/931_del4/2020,20B,0.41
URY/969_del4/2020,20B,0.41
SYC/G9497/2020,20B,0.34
OU077039,20E (EU1),0.46
AUS/VIC15685/2020,20F,0.44
TWN/CGMH-CGU-33/2020,20G,0.43
NZL/20CV0392/2020,20B,0.37
PER/un-CDC-4033329-001/2020,20D,0.34
PER/un-CDC-4033331-001/2020,20B,0.45
BGD/GRBL_S9/2020,20B,0.42
URY/1023_del4/2020,20B,0.41
URY/1045_del4/2020,20B,0.4
NZL/20CV0415/2020,20E (EU1),0.43
Belgium/42477217/2020,20A,0.3
IRN/3533/2020,20A,0.5
AUS/VIC16193/2020,20F,0.44
UZB/hCoV-19-Uzb-CGB-03/2020,19B,0.39
URY/1086_del4/2020,20B,0.42
France/GES-42484124/2020,20E (EU1),0.39
PER/un-CDC-4033364-001/2020,20D,0.34
KEN/C64744/2020,20B,0.4
USA/MN-MDH-1917/2020,20G,0.46
URY/1104_del4/2020,20B,0.41
BGD/GRBL_S10/2020,20B,0.39
NZL/20CV0449/2020,20B,0.41
DJI/NAMRU3_EB1/2020,20A,0.49
UGA/MAKCHScov19/2020,20A,0.44
OU596121,20A,0.44
Liechtenstein/UHB-0697576100/2020,20A,0.41
MW294011,20B,0.22
USA/hCov_19_USA_ID_IVREF_674914_2020/2020,20G,0.41
USA/NE-Noblis-S53B04/2020,20G,0.42
USA/CT-QDX-3400/2020,20C,0.43
NZL/20CV0502/2020,20B,0.39
TUN/TUN202055304/2020,20B,0.38
UGA/MAKCHScov3/2020,19B,0.54
NZL/20CV0496/2020,20B,0.4
TUN/TUN-202055439/2020,20A,0.45
Iceland/4295/2020,20E (EU1),0.53
Iceland/4241/2020,20B,0.42
USA/MP-CDC-2-3831104/2020,20B,0.4
USA/TG769683/2020,20A,0.29
USA/NMDOH-2020501043/2020,20A,0.47
NZL/20CV0527/2020,20A,0.39
ETH/AH-003/2020,20A,0.31
URY/1633_del4/2020,20B,0.43
NZL/20CV0556/2020,20A,0.39
OU077128,20B,0.44
GHA/nmimr-SARS-CoV-2-NTRA-9793/2020,20B,0.35
USA/TN-CDC-4041716-001/2020,20C,0.47
Estonia/Cov4809/2020,20A,0.41
DJI/NAMRU3_A08/2020,20A,0.49
ZAF/Yale-3366/2020,"20H (Beta, V2)",0.68
Switzerland/SH-ETHZ-370450/2020,20A,0.46
NZL/20CV0563/2020,20A,0.39
NZL/20CV0589/2020,20E (EU1),0.45
MEX/CHP-308290/2020,20A,0.51
EGY/EGY-ARMY-MCL011/2020,20A,0.48
PAK/JRCGR_SCV-68/2020,20A,0.54
PAK/JRCGR_SCV-69/2020,20A,0.44
BRA/MASP2C844R2/2020,20B,0.41
USA/NC-CDC-2-4044708/2020,20A,0.37
IND/KA-NIMH-SEQ-85/2020,20A,0.55
OU076635,20E (EU1),0.49
Mexico/SEARCH-100372/2020,20A,0.48
NZL/20CV0619/2020,20A,0.38
MYS/NCOV27754/2020,20A,0.48
NZL/20CV0608/2020,20B,0.39
USA/KS-CDC-2-4084835/2020,20C,0.4
Mexico/SEARCH-100392/2020,20A,0.45
RUS/4460/2020,20B,0.34
TUN/TUN-202063686/2020,20E (EU1),0.42
MEX/F463/2020,20A,0.38
USA/MT-CDC-2-3714194/2020,20G,0.44
USA/RI-Broad_RIDOH-00063/2020,20C,0.39
USA/SC-CDC-2-3714351/2020,20A,0.37
USA/hCoV_19_USA_ID_IVREF_688642_2020/2020,20G,0.41
USA/RI-CDC-2-3714559/2020,20C,0.36
HG994237,20A,0.3
IRN/3279/2020,20A,0.4
SLE/SL01/2020,20C,0.57
Homosapines/BRA/hCoV_19_Brazil_RJ_FIOCRUZ_LABMOF_69/2020,20B,0.45
SRB/GR04387-09-12/2020,20A,0.44
NZL/20CV0664/2020,20E (EU1),0.45
IND/GBRC528/2020,20A,0.42
HongKong/HKPU-00170/2020,"20I (Alpha, V1)",0.73
DJI/NAMRU3_D12/2020,20G,0.53
BRA/684/2020,20B,0.51
MWI/MLW00073/2020,21I (Delta),1.17
KEN/SS897/2020,20C,0.4
FIN/87HEL-VE6-H10/2020,"20I (Alpha, V1)",0.74
NZL/20CV0674/2020,20G,0.43
England/ALDP-CEBA89/2020,20C,0.45
NZL/20CV0676/2020,21C (Epsilon),0.57
TWN/CGMH-CGU-43/2020,20G,0.44
USA/RI-CDC-2-4122319/2020,20C,0.4
BRA/CD1739-P4/2020,"20J (Gamma, V3)",0.76
NZL/20CV0697/2020,20A,0.35
TGO/nmimr-TG-SARS-CoV-2-TGS-015-21/2020,20B,0.45
USA/VT-CDC-2-4044707/2020,20C,0.35
Estonia/Cov7701/2020,20A,0.39
USA/MT-CDC-2-4068594/2020,20A,0.42
MLI/MAL0023/2020,19B,0.55
USA/PR-CDC-LC0001496/2020,20G,0.46
USA/MD-CDC-LC0000389/2020,20G,0.46
IRQ/Samawa-3/2020,"20I (Alpha, V1)",0.73
GHA/nmimr-SARS-CoV-2-NTRA-15392/2020,"20I (Alpha, V1)",0.74
UGA/MUWRP-20200195568/2020,19B,0.54
USA/PA-CDC-2-4122310/2020,20G,0.41
Lebanon/QIB-2/2020,"20I (Alpha, V1)",0.78
Lebanon/QIB-1/2020,20A,0.37
PER/LIM-INS-173/2020,"20I (Alpha, V1)",0.73
Liechtenstein/UHB-4176655701/2020,20A,0.45
Estonia/Cov7249/2020,20A,0.43
Estonia/Cov7255/2020,20A,0.43
VEN/Bol4715/2021,"20J (Gamma, V3)",0.91
NZL/21CV0010/2021,"20I (Alpha, V1)",0.73
Estonia/Cov7273/2021,20A,0.41
USA/WV-CDC-LC0004188/2021,20G,0.46
NGA/BCVL-18292/2021,"20I (Alpha, V1)",0.74
Estonia/Cov7316/2021,20A,0.38
EGY/CUNCI-HGC11I053/2021,20D,0.5
WestBank/AAS44/2021,20B,0.37
MEX/133706/2021,20B,0.53
HG994324,20A,0.44
MWI/MLW00211/2021,21A (Delta),1.1
FRA/UK-4_2021/2021,"20I (Alpha, V1)",0.71
GHA/WACCBIP_nCoV_GS163/2021,"20I (Alpha, V1)",0.73
NZL/21CV0048/2021,20G,0.41
MAR/FMP80/2021,"20I (Alpha, V1)",0.99
TUN/TUN-20212249/2021,20E (EU1),0.42
MMR/DSMRC_004/2021,20A,0.48
OV104284,21J (Delta),1.13
NZL/21CV0055/2021,20G,0.41
Japan/Donner387/2021,20B,0.54
NZL/21CV0107/2021,20A,0.51
TGO/nmimr-TG-SARS-CoV-2-TGS-024-21/2021,"20I (Alpha, V1)",0.74
Switzerland/VD-ETHZ-460754/2021,20E (EU1),0.44
USA/UT-UPHL-210812872528/2021,20A,0.37
PHL/PH-PGC-02732/2021,"20I (Alpha, V1)",0.72
FRA/ZA-1/2021,"20H (Beta, V2)",0.66
PER/un-CDC-4051669-001/2021,20D,0.44
DJI/NAMRU3_C58/2021,20A,0.48
PER/un-CDC-4051677-001/2021,21G (Lambda),0.78
PER/un-CDC-4051671-001/2021,21G (Lambda),0.8
IRQ/Samawa-1/2021,"20I (Alpha, V1)",0.73
HG994241,20A,0.3
VEN/Bol4717/2021,"20J (Gamma, V3)",0.91
VEN/Bol4720/2021,"20J (Gamma, V3)",0.91
USA/AK-CDC-STM-000005026/2021,20C,0.45
USA/LA-BIE-LSUH000853/2021,20G,0.5
NZL/21CV0140/2021,"20H (Beta, V2)",0.64
RUS/SPb-117/2021,20B,0.61
USA/1561778/2021,20G,0.48
SLE/nmimr-SLE-SARS-CoV-2-SLSEQ032/2021,20B,0.67
Japan/Donner391/2021,20B,0.42
UGA/MAKCHScov11/2021,19B,0.56
ETH/S2/2021,20A,0.44
USA/VT-CDC-QDX21529982/2021,20G,0.48
Japan/Donner397/2021,20B,0.43
Liechtenstein/UHB-4181115401/2021,"20I (Alpha, V1)",0.73
USA/VI-CDC-2-3906154/2021,20G,0.48
TWN/CGMH-CGU-54/2021,"20J (Gamma, V3)",0.83
MLI/MAL0093/2021,19B,0.77
Japan/Donner393/2021,20B,0.43
PER/UPCH_cov0434/2021,21G (Lambda),0.77
PER/UPCH_cov0438/2021,21G (Lambda),0.74
TWN/CGMH-CGU-57/2021,21C (Epsilon),0.57
SAU/KAIMRC-S542/2021,20B,0.71
BHR/920664388/2021,20B,0.37
NZL/21MV0024/2021,"20I (Alpha, V1)",0.73
BGD/GC001/2021,"20I (Alpha, V1)",0.75
USA/NYI-370-21-1/2021,20A,0.5
USA/ND-CDC-2-4011891/2021,20G,0.57
Liechtenstein/UHB-4182376401/2021,"20I (Alpha, V1)",0.73
PER/UPCH_cov0431/2021,21G (Lambda),0.76
GHA/nmimr-SARS-CoV-2-NTRA-21-20217/2021,"20I (Alpha, V1)",0.75
Switzerland/AG-ETHZ-481641/2021,20A,0.49
Switzerland/BL-ETHZ-480581/2021,"20I (Alpha, V1)",0.73
Liechtenstein/UHB-4182815001/2021,"20I (Alpha, V1)",0.75
Liechtenstein/UHB-4182816001/2021,"20I (Alpha, V1)",0.73
MWI/MLW00194/2021,21A (Delta),1.08
ETH/S12/2021,20A,0.44
KEN/C82570/2021,"20H (Beta, V2)",0.53
USA/MT-CDC-2-3935722/2021,21C (Epsilon),0.6
NZL/21MV0056/2021,"20H (Beta, V2)",0.62
SLE/nmimr-SLE-SARS-CoV-2-SLSEQ071/2021,20B,0.67
WestBank/AAS51/2021,"20I (Alpha, V1)",0.69
BRA/1061/2021,"20J (Gamma, V3)",0.78
USA/UT-CDC-2-3935612/2021,21C (Epsilon),0.56
BGD/ideSHi-S-04/2021,"20I (Alpha, V1)",0.7
NGA/BCVL-23131/2021,"20I (Alpha, V1)",0.78
ESP/HUD-68697401/2021,20E (EU1),0.49
Estonia/Cov8612/2021,20E (EU1),0.54
Environment/IND/GBRC747a/2021,21A (Delta),1.13
HongKong/HKPU-00126/2021,20B,0.59
HongKong/HKPU-00132/2021,20B,0.59
HongKong/HKPU-00127/2021,20B,0.59
EGY/PHARCO-ARMY010/2021,20D,0.41
USA/CA-CDC-STM-000011214/2021,20B,0.6
